"id";"parent_id:id";"code";"name";"type";;;;"le";"description"
"kp_rrif_0332";"kp_rrif_033";"0332";"30% pretporeza od brodova, jahti i dr. (n.v. do 400.000,00 kn)";"view";4;;;62;
"kp_rrif_0333";"kp_rrif_033";"0333";"30% i 100% pretporeza od brodova, jahti i dr. (n.v. veæe od 400.000,00 kn)";"view";4;;;74;
"kp_rrif_034";"kp_rrif_03";"034";"Poljoprivredna oprema";"view";3;;;21;
"kp_rrif_0340";"kp_rrif_034";"0340";"Traktori, kombajni, prikolice i sl.";"view";4;;;35;
"kp_rrif_0341";"kp_rrif_034";"0341";"Radni prikljuèci (plugovi, beraèice, freze, prskalice, sabiraèe i sl.)";"view";4;;;70;
"kp_rrif_0342";"kp_rrif_034";"0342";"Oprema za mljekarstvo (muzilice, separatori, police, spremnici i sl.)";"view";4;;;69;
"kp_rrif_0343";"kp_rrif_034";"0343";"Oprema ribarstva (kavezi, mreže, èamci i brodovi, pakirnice)";"view";4;;;60;
"kp_rrif_0344";"kp_rrif_034";"0344";"Oprema vinogradarstva (baève, filteri, preše, punionica)";"view";4;;;56;
"kp_rrif_0345";"kp_rrif_034";"0345";"Oprema voèarstva i maslinarstva";"view";4;;;31;
"kp_rrif_0346";"kp_rrif_034";"0346";"Oprema stoèarstva i pæelarstva";"view";4;;;30;
"kp_rrif_0347";"kp_rrif_034";"0347";"Oprema mlinova";"view";4;;;14;
"kp_rrif_0349";"kp_rrif_034";"0349";"Ostala oprema poljoprivrede, stoèarstva i ribarstva";"view";4;;;51;
"kp_rrif_035";"kp_rrif_03";"035";"Ostala materijalna imovina";"view";3;;;26;
"kp_rrif_0350";"kp_rrif_035";"0350";"Umjetnine, slike i sl.";"view";4;;;22;
"kp_rrif_0351";"kp_rrif_035";"0351";"Arhivski predmeti, makete i sl.";"view";4;;;31;
"kp_rrif_0352";"kp_rrif_035";"0352";"Knjige, karte, fotografije i sl.";"view";4;;;32;
"kp_rrif_0353";"kp_rrif_035";"0353";"Oldtimeri (automobili, brodovi i dr.)";"view";4;;;37;
"kp_rrif_0354";"kp_rrif_035";"0354";"Ostala materijalna imovina";"view";4;;;26;
"kp_rrif_036";"kp_rrif_03";"036";"Predujmovi za materijalnu imovinu";"view";3;;;33;
"kp_rrif_0360";"kp_rrif_036";"0360";"Predujmovi za postrojenja i opremu";"view";4;;;34;
