"code","name","note"
"2341","Obveze za životna osiguranja","Obveze za životna osiguranja"
"2342","Obveze u III. stupu mirovinskog osiguranja","Obveze u III. stupu mirovinskog osiguranja"
"2343","Obveze za premije zdravstvenog osiguranja","Obveze za premije zdravstvenog osiguranja"
"2344","Obveze za dopunsko zdravstveno osiguranje","Obveze za dopunsko zdravstveno osiguranje"
"235","Obveze iz poslovanja u slobodnoj zoni","Obveze iz poslovanja u slobodnoj zoni"
"236","Obveze iz vanjskotrgovačkog poslovanja","Obveze iz vanjskotrgovačkog poslovanja"
"2360","Obveze prema uvozniku (ili naručitelju)","Obveze prema uvozniku (ili naručitelju)"
"2361","Obveze po poslovima izvoza za tuđi račun","Obveze po poslovima izvoza za tuđi račun"
"237","Obveze prema poslovnim jedinicama u inozemstvu","Obveze prema poslovnim jedinicama u inozemstvu"
"2370","Obveze prema P.J. u inozemstvu","Obveze prema P.J. u inozemstvu"
"2371","Obveze prema podružnicama u inozemstvu","Obveze prema podružnicama u inozemstvu"
"238","Obveze iz stjecanja udjela","Obveze iz stjecanja udjela"
"2380","Obveze za uplaćeni a neupisani temeljni kapital","Obveze za uplaćeni a neupisani temeljni kapital"
"2381","Obveze za kupnju poslovnog udjela","Obveze za kupnju poslovnog udjela"
"239","Ostale kratkoročne obveze","Ostale kratkoročne obveze"
"2390","Obveze prema odštetnim zahtjevima","Obveze prema odštetnim zahtjevima"
"2391","Obveze prema brokerima za kupljene vrijednosne papire","Obveze prema brokerima za kupljene vrijednosne papire"
"2392","Obveze za doprinos za komunalnu infrastrukturu","Obveze za doprinos za komunalnu infrastrukturu"
"2393","Obveze za PDV iz poslovnih odnosa","Obveze za PDV iz poslovnih odnosa"
"2394","Obveze iz primjene valutne klauzule","Obveze iz primjene valutne klauzule"
"2395","Obveze s osnove sudskih presuda","Obveze s osnove sudskih presuda"
"2396","Obveze iz ortaštva","Obveze iz ortaštva"
"2397","Obveze za tuđa sredstva","Obveze za tuđa sredstva"
"2398","Obveze prema inozemnom poduzet. za PDV","Obveze prema inozemnom poduzet. za PDV"
"2399","Ostale nespomenute obveze","Ostale nespomenute obveze"
"24","KRATKOROČNE OBVEZE ZA POREZE, DOPRINOSE I SLIČNA DAVANJA","KRATKOROČNE OBVEZE ZA POREZE, DOPRINOSE I SLIČNA DAVANJA"
"240","Obveze za porez na dodanu vrijednost","Obveze za porez na dodanu vrijednost"
"2400","Obveza za PDV po isporukama","Obveza za PDV po isporukama"
"24000","Obveza za PDV - 10%","Obveza za PDV - 10%"
"24001","Obveza za PDV - 22%","Obveza za PDV - 22%"
"24002","Obveza za PDV - 23%","Obveza za PDV - 23%"
"2401","Obveza za PDV-a prema računu za predujam","Obveza za PDV-a prema računu za predujam"
"24010","Obveza za PDV za predujam - 10%","Obveza za PDV za predujam - 10%"
"24011","Obveza za PDV za predujam - 22%","Obveza za PDV za predujam - 22%"
"24012","Obveza za PDV za predujam - 23%","Obveza za PDV za predujam - 23%"
"2402","Obveze za PDV s osnove vlastite potrošnje - 23% (za proizv. za reprez. te za o.auto. nab. do 2010.)","Obveze za PDV s osnove vlastite potrošnje - 23% (za uporabu proizv. za reprezentaciju te za osobne automobile nabavljene do 1.I. 2010.)"
"2403","Obveza za PDV po nezaračunanim isporukama","Obveza za PDV po nezaračunanim isporukama"
"24030","Obveza za PDV po nezaračunanim isporukama - 10%","Obveza za PDV po nezaračunanim isporukama - 10%"
"24031","Obveza za PDV po nezaračunanim isporukama - 22%","Obveza za PDV po nezaračunanim isporukama - 22%"
"24032","Obveza za PDV po nezaračunanim isporukama - 23%","Obveza za PDV po nezaračunanim isporukama - 23%"
"2404","Obveze za ispravljeni PDV zbog prenamjene dobara","Obveze za ispravljeni PDV zbog prenamjene dobara"
"24041","Obveza za PDV zbog promjene postotka priznavanja PDV-a","Obveza za PDV zbog promjene postotka priznavanja PDV-a"
"2405","Obračunana a nedospjela obveza za PDV","Obračunana a nedospjela obveza za PDV"
"2406","Obveza za PDV po Rješenju poreznog nadzora","Obveza za PDV po Rješenju poreznog nadzora"
"2407","Obveza za razliku poreza i pretporeza u obračunskom razdoblju","Obveza za razliku poreza i pretporeza u obračunskom razdoblju"
"2408","Povrat PDV-a iz putničkog prometa","Povrat PDV-a iz putničkog prometa"
"2409","Obveza za PDV po konačnom obračunu","Obveza za PDV po konačnom obračunu"
"241","Obveze za porez i prirez na dohodak","Obveze za porez i prirez na dohodak"
"2410","Obveze za porez na dohodak iz plaća i primitaka izjednačenih s plaćom","Obveze za porez na dohodak iz plaća i primitaka izjednačenih s plaćom"
